start	end	text
0	24000	Entrepé, noite fechada
25000	30000	Aranja presa, agueira espalmeada
33000	36000	Nos olhos capa um brilho cruel
39000	42000	Matar a fome é o seu papel
45000	48000	Um convói de chips a dança no trigo
48000	54000	Grazendo armas prontas fixas no tejadinho
57000	61000	Uma cor de sangue, o sol derrama
63000	69000	Enquanto nasce, enquanto nasce o horror
70000	72000	Na terra africana
79000	83000	Num fechar de olhos, cercam a aldeia
86000	89000	Obo da caça no seu alcateia
92000	95000	As gentes fogem, ainda estremonhadas
98000	101000	Rapidamente, são apagadas
101000	107000	Não há quem me escape, não há quem resista
109000	113000	São os senhores da guerra, essa raça maldita
116000	119000	Maturam prazer num jogo mortal
122000	127000	Ficamos sem saber quem é o homem
128000	130000	Quem é o animal?
132000	133000	Quem é quem?
133000	135000	Esta celba sem creta
138000	139000	Quem é quem?
139000	141000	Este dia de lento
144000	146000	Quem é quem?
147000	150000	Deixando o gás com todo pedidor
150000	152000	Quem é quem?
153000	157000	Por equipação, os filhos do ditador
175000	178000	Fui o chimpai de uma mãe esfomeada
182000	185000	Na lei do mais forte, ele é sempre aplicada
188000	191000	As balas foram as suas primeiras letras
194000	197000	As vacas do mato, as suas canetas
200000	203000	Com elas, estrevem uma história de terror
203000	206000	Com praças, cóctel e gritos de dor
207000	208000	Quem é quem?
208000	211000	Perguntei, ainda prefendo sangue
212000	214000	A correr nesta arena
217000	218000	Quem é quem?
218000	220000	Esta celba sem creta
220000	223000	É a delícia do sangue sem creta
223000	224000	Quem é quem?
224000	226000	Este dia de lento
226000	229000	Mulheres de crianças, já o sangue não
229000	231000	Quem é quem?
232000	235000	Deixando o gás com todo pedidor
235000	237000	Quem é quem?
238000	241000	Por equipação, os filhos do ditador
241000	243000	Quem é quem?
247000	249000	Quem é quem?
